game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CDA.transaction.quantity,CDA.transaction.price.min,CDA.transaction.price.max,CDA.transaction.price.mean,CDA.transaction.price.stdev
0,41,+11.000,+11.000,+95.823,+100.864,+99.496,+138.603,+97.654,+113.128,+1.372,+15.775,+11.000,+98.343,+118.905,+105.391,+8.069
0,42,+6.000,+6.000,+97.816,+97.816,+102.636,+145.652,+99.513,+118.263,+1.607,+21.203,+6.000,+97.816,+124.144,+108.888,+11.265
0,43,+6.000,+6.000,+96.726,+99.981,+99.045,+108.431,+98.069,+103.627,+0.812,+3.692,+6.000,+98.853,+103.738,+100.848,+1.821
0,44,+13.000,+13.000,+98.770,+101.152,+104.969,+135.624,+101.699,+112.346,+1.846,+11.472,+13.000,+100.078,+118.198,+107.023,+6.014
0,45,+9.000,+9.000,+97.156,+99.929,+101.741,+101.896,+100.082,+101.324,+1.633,+0.541,+9.000,+99.280,+101.819,+100.703,+0.843
0,46,+10.000,+10.000,+96.890,+101.741,+101.744,+114.958,+100.231,+106.409,+1.658,+5.963,+10.000,+99.315,+108.351,+103.320,+3.419
0,47,+6.000,+6.000,+98.269,+124.976,+106.212,+142.795,+101.220,+132.800,+2.409,+5.938,+6.000,+112.896,+121.806,+117.010,+2.833
0,48,+4.000,+4.000,+99.612,+99.755,+99.755,+124.667,+99.719,+105.983,+0.062,+10.787,+4.000,+99.683,+112.211,+102.851,+5.404
0,49,+11.000,+11.000,+96.419,+99.675,+98.986,+112.364,+98.430,+104.523,+0.858,+4.680,+11.000,+99.276,+105.620,+101.476,+2.228
0,50,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,NaN,NaN,NaN,NaN
0,51,+7.000,+7.000,+97.316,+98.725,+105.213,+115.747,+99.302,+104.198,+2.499,+6.213,+7.000,+98.439,+108.028,+101.750,+3.974
0,52,+19.000,+19.000,+99.972,+104.203,+112.915,+119.113,+107.077,+111.487,+3.323,+3.261,+19.000,+104.203,+112.915,+109.282,+2.484
0,53,+12.000,+12.000,+98.710,+103.456,+112.110,+164.839,+102.455,+123.488,+3.890,+18.000,+12.000,+101.083,+133.075,+112.972,+9.944
0,54,+12.000,+12.000,+95.372,+100.384,+110.163,+118.607,+101.805,+108.113,+4.185,+7.049,+12.000,+97.878,+114.385,+104.959,+5.066
