game,day,CDA.transaction.quantity,CH.transaction.quantity,CDA.transaction.price.min,CH.transaction.price.min,CDA.transaction.price.max,CH.transaction.price.max,CDA.transaction.price.mean,CH.transaction.price.mean,CDA.transaction.price.stdev,CH.transaction.price.stdev,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CH.ask.accepted.price.min,CH.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CH.ask.accepted.price.max,CH.bid.accepted.price.max,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CH.ask.accepted.quantity,CH.bid.accepted.quantity,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CH.ask.accepted.price.stdev,CH.bid.accepted.price.stdev
0,26,+9.000,+3.000,+96.452,+96.989,+118.638,+100.894,+106.946,+99.226,+6.589,+1.644,+95.962,+96.942,+96.330,+101.255,+110.681,+126.594,+99.532,+102.255,+9.000,+9.000,+3.000,+3.000,+5.536,+10.068,+1.337,+0.471
0,27,+6.000,+1.000,+98.465,+99.540,+104.173,+99.540,+101.474,+99.540,+2.252,+0.000,+96.833,+98.934,+98.085,+100.994,+102.359,+105.987,+98.085,+100.994,+6.000,+6.000,+1.000,+1.000,+1.975,+2.940,+0.000,+0.000
0,28,+8.000,+1.000,+99.720,+104.001,+106.788,+104.001,+103.842,+104.001,+2.220,+0.000,+98.571,+100.869,+102.854,+129.092,+105.025,+108.582,+102.854,+129.092,+8.000,+8.000,+1.000,+1.000,+2.427,+2.295,+0.000,+0.000
0,29,+9.000,+9.000,+100.906,+99.317,+139.349,+113.614,+116.399,+106.046,+12.768,+4.959,+97.094,+104.719,+97.289,+101.213,+123.499,+170.111,+111.721,+132.111,+9.000,+9.000,+9.000,+9.000,+8.798,+20.277,+4.478,+11.420
0,30,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,+0.000,+0.000,+0.000,NaN,NaN,NaN,NaN
0,31,+4.000,+9.000,+101.640,+97.790,+104.228,+111.985,+103.183,+102.261,+1.063,+4.511,+100.658,+102.623,+96.330,+97.790,+103.737,+104.719,+109.433,+133.655,+4.000,+4.000,+9.000,+9.000,+1.454,+0.908,+4.363,+14.360
0,32,+3.000,+3.000,+107.935,+99.110,+112.194,+100.283,+109.857,+99.501,+1.763,+0.553,+102.653,+113.217,+97.635,+100.585,+111.171,+113.217,+97.635,+102.931,+3.000,+3.000,+3.000,+3.000,+3.527,+0.000,+0.000,+1.106
0,33,+6.000,+9.000,+110.307,+100.573,+122.834,+105.866,+115.505,+103.634,+5.265,+1.584,+98.927,+121.687,+99.940,+104.867,+105.814,+142.676,+103.518,+138.842,+6.000,+6.000,+9.000,+9.000,+2.417,+9.385,+1.481,+15.480
0,34,+0.000,+3.000,NaN,+101.741,NaN,+108.313,NaN,+103.931,NaN,+3.098,NaN,NaN,+101.069,+108.234,NaN,NaN,+104.591,+132.234,+0.000,+0.000,+3.000,+3.000,NaN,NaN,+1.660,+11.314
0,35,+0.000,+3.000,NaN,+99.753,NaN,+100.699,NaN,+100.384,NaN,+0.446,NaN,NaN,+98.806,+100.699,NaN,NaN,+100.699,+100.699,+0.000,+0.000,+3.000,+3.000,NaN,NaN,+0.893,+0.000
0,36,+6.000,+9.000,+101.143,+104.277,+143.823,+119.620,+122.383,+109.567,+20.772,+5.526,+100.732,+101.553,+99.588,+109.382,+104.541,+183.105,+112.944,+188.489,+6.000,+6.000,+9.000,+9.000,+1.647,+40.604,+3.914,+35.839
0,37,+6.000,+0.000,+101.108,NaN,+107.857,NaN,+103.645,NaN,+2.589,NaN,+100.004,+102.212,NaN,NaN,+102.723,+112.991,NaN,NaN,+6.000,+6.000,+0.000,+0.000,+1.293,+4.949,NaN,NaN
0,38,+4.000,+0.000,+102.309,NaN,+112.745,NaN,+107.479,NaN,+3.690,NaN,+96.769,+107.850,NaN,NaN,+107.398,+118.092,NaN,NaN,+4.000,+4.000,+0.000,+0.000,+4.602,+4.435,NaN,NaN
0,39,+3.000,+6.000,+100.435,+101.973,+106.216,+103.347,+103.398,+102.875,+2.362,+0.429,+100.174,+100.696,+100.890,+103.057,+102.623,+109.809,+103.347,+185.419,+3.000,+3.000,+6.000,+6.000,+1.154,+3.739,+1.093,+36.806
0,40,+7.000,+0.000,+103.373,NaN,+122.794,NaN,+114.310,NaN,+6.508,NaN0,49,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,+0.000,+0.000,+0.000,NaN,NaN,NaN,NaN
03,+100.041,+150.070,+115.886,+129.324,+108.889,+19.933,+6.774,+98.586,+99.383,+97.089,+101.514,+146.844,+187.022,+113.252,+124.551,+8.000,+8.000,+5.000,+5.000,+15.448,+34.937,+6.588,+10.159
0,42,+9.000,+6.000,+101.156,+103.567,+133.992,+107.633,+115.967,+106.027,+13.181,+1.766,+97.606,+101.514,+101.466,+103.637,+109.064,+162.965,+107.145,+115.104,+9.000,+9.000,+6.000,+6.000,+3.513,+25.722,+1.810,+3.814
0,43,+3.000,+3.000,+110.085,+98.648,+116.040,+107.015,+113.305,+101.985,+2.455,+3.620,+97.183,+122.987,+98.016,+114.498,+109.094,+122.987,+101.304,+114.498,+3.000,+3.000,+3.000,+3.000,+4.911,+0.000,+1.354,+0.000
0,44,+6.000,+0.000,+99.396,NaN,+100.476,NaN,+99.867,NaN,+0.476,NaN,+95.444,+100.798,NaN,NaN,+100.155,+103.347,NaN,NaN,+6.000,+6.000,+0.000,+0.000,+2.222,+1.275,NaN,NaN
0,45,+6.000,+12.000,+98.701,+100.224,+103.208,+119.256,+99.809,+109.693,+1.533,+6.265,+97.980,+99.179,+98.074,+113.757,+99.179,+108.435,+118.610,+151.853,+6.000,+6.000,+12.000,+12.000,+0.565,+3.364,+5.251,+9.970
0,46,+3.000,+3.000,+101.431,+102.663,+104.327,+103.646,+102.858,+103.066,+1.183,+0.420,+96.558,+106.305,+101.902,+103.132,+102.350,+106.305,+102.650,+107.903,+3.000,+3.000,+3.000,+3.000,+2.365,+0.000,+0.347,+2.184
0,47,+4.000,+6.000,+108.235,+99.752,+128.383,+103.215,+114.294,+101.982,+8.203,+1.323,+99.179,+117.269,+95.143,+102.943,+112.373,+144.392,+102.943,+114.883,+4.000,+4.000,+6.000,+6.000,+5.410,+11.061,+3.271,+5.970
0,48,+6.000,+8.000,+98.638,+97.313,+106.258,+106.941,+101.547,+104.687,+2.468,+3.689,+98.097,+99.179,+97.261,+97.366,+102.061,+112.918,+106.666,+131.263,+6.000,+6.000,+8.000,+8.000,+1.213,+4.629,+3.403,+13.530
0,49,+3.000,+7.000,+102.792,+100.653,+103.411,+116.555,+103.115,+107.579,+0.254,+6.123,+99.937,+105.647,+99.335,+101.971,+101.176,+105.647,+112.431,+139.059,+3.000,+3.000,+7.000,+7.000,+0.507,+0.000,+4.637,+14.646
